feature,importance
1250_cash_and_equiv,7.142544543724835
roa,6.450290026455497
2400_net_pofit,3.4471587190477964
debt_to_total_liabilities,2.6476115067998354
2300_ebt,2.569640751109741
1210_inventory,2.219487869534855
2410_inc_tax_lag1,1.7884062500889113
2410_inc_tax,1.7670981434354396
fa_turnover_ratio_lag1,1.5486453982193582
absolute_liquidity,1.5342522822761315
4221_non_curr_assets_purch,1.4930286302114508
net_profit_margin,1.4056147527412686
2120_cost_of_sales_lag1,1.3077270101921434
debt_to_total_liabilities_lag1,1.2793922403033189
days_sales_outst,1.2237977264823574
1210_inventory_lag1,1.1924181111412007
roa_ru_tax_lag1,1.1156933598410976
payables_turnover,1.0846252131071044
total_assets_turnover,1.077478053274903
receivables_to_total_assets_lag1,1.035643229195346
total_assets_turnover_lag1,1.0148256970980474
total_debt_to_equity_lag1,0.9879150803664716
equity_concentration,0.9826187591220809
receivables_to_total_assets,0.9806094588013774
1600_total_assets,0.9694974278770772
total_debt,0.9458559166958037
2110_revenue_lag1,0.8998007956296338
days_inventory_outst,0.8917490438920296
1150_prop_plant_equip,0.8552451202222575
receivables_turnover,0.8267478181501282
own_working_capital_adequacy,0.8053157419080959
1520_trade_payables_lag1,0.7358969410935378
absolute_liquidity_lag1,0.7093379592693111
total_debt_lag1,0.7076687837569049
owners_equity_lag1,0.7018332677558716
1700_total_liab,0.6867223662656761
roe,0.6844252664371567
receivables_turnover_lag1,0.6384101643472574
gross_margin_to_total_assets_lag1,0.6382205166983309
fa_turnover_ratio,0.6233795681692316
net_debt_to equity_lag1,0.6125741265173912
ebit,0.6038776637330127
2210_selling_exp_lag1,0.5973937877794644
asset_conversion_period,0.5868804242063617
1300_total_equity_lag1,0.579281506911654
1400_total_lt_liab_lag1,0.5768448961947231
working_capital_to_total_assets,0.5745123061932138
days_inventory_outst_lag1,0.5696549723205251
current_liquidity,0.5561879833131532
inventory_turnover,0.5465446380695105
days_purch_outst,0.5417991071694633
roa_ru_tax,0.5275780199485107
return_on_costs,0.4991936249766858
1100_total_non_curr_assets,0.49879282131249025
1150_prop_plant_equip_lag1,0.49704257994820134
2200_prof_from_selling,0.4966189367570191
gross_margin_to_total_assets,0.48137196790422165
gpm_on_sgna_lag1,0.4578071407343085
2350_other_exp_lag1,0.44895557335118313
quick_liquidity,0.44410726144838725
interest_coverage_lag1,0.44167342079240307
4400_ncf,0.4362383510242481
net_assets_lag1,0.4278255556948787
2210_selling_exp,0.4263663753052905
std_to_total_debt_lag1,0.4244462937762325
2330_interest_paid_lag1,0.42303260432753104
equity_maneuverability_lag1,0.4157002717199345
fa_conversion_period_lag1,0.4012936685155076
ebit_lag1,0.39937468394295494
total_debt_to_ebit_lag1,0.3937008687140855
cogs_to_revenue_lag1,0.39019039097933955
1250_cash_and_equiv_lag1,0.3888300267897021
equity_concentration_lag1,0.3878815922211828
working_capital,0.386766362967914
debt_to_equity,0.3843282612332555
2350_other_exp,0.38077607133949215
inventory_turnover_lag1,0.3795092878737342
total_debt_to_ebit,0.3790571057019943
4220_inv_cash_out,0.3788887921301759
2200_prof_from_selling_lag1,0.37588828018050335
ltd_to_total_capitalization_lag1,0.3565238330153681
4214_div_received,0.35493352214155266
net_assets,0.3505426785096043
ebitm_lag1,0.3397881901137752
4123_int_on_debt_lag1,0.3205993633959735
1230_recevables,0.31737630126687244
fa_conversion_period,0.3150222020829245
2340_other_income,0.3105646753586399
1260_other_curr_assets,0.30303554918016556
roa_lag1,0.30177295249691743
1200_total_curr_assets_lag1,0.30100401915917413
1300_total_equity,0.2909084152224054
1200_total_curr_assets,0.2908404530516783
roe_lag1,0.29071083018410226
2100_gross_profit,0.2874275486358595
ltd_to_total_capitalization,0.2840402269308409
2120_cost_of_sales,0.27704470159058187
interest_coverage,0.2748843287507965
debt_to_equity_lag1,0.27460144984270646
1230_recevables_lag1,0.27319828944456087
owners_equity,0.27257022729193514
std_to_total_debt,0.2701250787313913
4323_loans_repmnt _lag1,0.2681678809609572
quick_liquidity_lag1,0.2653688573420937
1110_int_assets_lag1,0.2624457489831365
1370_ret_earnings_lag1,0.26006282673007025
asset_conversion_period_lag1,0.24555263722041337
working_capital_lag1,0.2434447411610606
cogs_to_revenue,0.2417199171334121
2110_revenue,0.23935896182678507
1450_other_lt_liab_lag1,0.23447756314759316
opm,0.23005146352871877
equity_maneuverability,0.22639897177453872
ebitm,0.22490015175403638
opm_lag1,0.22404962719694965
net_debt_to equity,0.22376084824377773
2100_gross_profit_lag1,0.2220004577769242
gpm_on_sgna,0.22137175876569884
cae_to_revenue_lag1,0.21821397314546678
1510_st_debt,0.21274188929725196
4122_payroll,0.21244884385620988
2340_other_income_lag1,0.20655717883761412
1360_reserve_funds,0.20511508811517082
