feature,importance
2300_ebt,10.027152863909
1250_cash_and_equiv,6.543950315362512
2400_net_pofit,4.179863481177584
absolute_liquidity,2.0535287873494283
1210_inventory,1.9951090967932346
debt_to_total_liabilities,1.7860938190920348
days_sales_outst,1.476296787448964
4221_non_curr_assets_purch,1.4710866014137447
total_debt_to_equity_lag2,1.4427770257899721
own_working_capital_adequacy,1.3680364953349728
net_profit_margin,1.361960336850653
fa_turnover_ratio_lag2,1.2727465036497503
2410_inc_tax_lag1,1.165088952593199
1210_inventory_lag1,1.158452854462047
roa,1.1207544305157355
equity_concentration,1.1146997072543456
2410_inc_tax,1.0665504517710553
2410_inc_tax_lag2,1.0163361776322284
receivables_turnover,0.9301345761683067
ebit,0.9036661139804579
equity_concentration_lag1,0.8847205989349577
own_working_capital_adequacy_lag1,0.8755215866308356
total_debt_lag1,0.8675937655819639
2120_cost_of_sales_lag2,0.8450559319413966
total_assets_turnover,0.8396101846668644
receivables_to_total_assets,0.8344014899829622
total_debt_to_equity_lag1,0.7972249659084718
receivables_to_total_assets_lag1,0.7493997845167755
asset_conversion_period,0.7316162202702104
days_purch_outst,0.7164639875948995
1210_inventory_lag2,0.6997247526226419
receivables_to_total_assets_lag2,0.6794188259578604
fa_turnover_ratio_lag1,0.6691908705589412
payables_turnover,0.6271043595091959
roa_ru_tax,0.5814035300598082
total_assets_turnover_lag1,0.5390237653397506
1600_total_assets,0.523139675159692
roa_ru_tax_lag2,0.5011342158216056
days_inventory_outst,0.4933785463518197
debt_to_equity,0.47011666194725615
1150_prop_plant_equip,0.46989243925461815
debt_to_total_liabilities_lag1,0.4635521601186671
2350_other_exp,0.451560377004977
total_assets_turnover_lag2,0.4475370721695994
debt_to_equity_lag2,0.4470816652656144
4214_div_received,0.4463250328943924
1150_prop_plant_equip_lag1,0.4458018968503287
cogs_to_revenue_lag2,0.44456297463176814
roa_lag1,0.4407241222673562
1100_total_non_curr_assets,0.4377867016073952
roe,0.4359236955483744
net_debt_to equity_lag2,0.42770395069686257
debt_to_total_liabilities_lag2,0.4242125873877678
working_capital,0.4200153201661578
1700_total_liab,0.4194009396557555
total_debt_to_ebit_lag1,0.4191824858480273
2110_revenue_lag2,0.4173774135918245
1400_total_lt_liab_lag1,0.41150597603267425
owners_equity,0.41120419154007665
interest_coverage,0.3862838218603254
roa_ru_tax_lag1,0.3832641680153489
total_debt_to_ebit_lag2,0.37735614872503376
1520_trade_payables_lag1,0.37638905057067884
equity_maneuverability,0.3641417190157617
net_debt_to equity_lag1,0.36363100367110374
interest_coverage_lag2,0.3603548284499834
1500_total_st_liab_lag1,0.329362527690282
days_inventory_outst_lag2,0.31909181699325545
