feature,importance
debt_to_total_liabilities,7.734573507201653
debt_to_total_liabilities_lag1,6.356197632308335
absolute_liquidity,4.878739015364979
net_profit_margin,3.1213037869596634
total_assets_turnover,2.243769388595444
receivables_to_total_assets,2.098587308841885
total_assets_turnover_lag1,2.059442953410956
roa_ru_tax,1.989207396381302
roa,1.8155440278536439
total_assets_turnover_lag2,1.7028944106857673
inventory_turnover,1.6986514134854291
receivables_turnover,1.6876611714697145
payables_turnover,1.5280906264773184
receivables_to_total_assets_lag1,1.3062233934306817
2110_revenue_lag2,1.2727962639828565
roe,1.2344378253914559
2110_revenue_lag1,1.1653560664919493
working_capital_to_total_assets_lag2,1.163239232849695
receivables_turnover_lag2,1.1565037519261596
days_sales_outst,1.1254864581219188
2110_revenue,1.1072815558467082
ebit,0.9026402516832226
ebitm,0.8823365650223708
own_working_capital_adequacy_lag2,0.8599958702129671
roa_ru_tax_lag2,0.8532902640792455
equity_concentration_lag1,0.8493371338124621
total_debt_to_equity_lag2,0.8267711340040054
debt_to_equity_lag2,0.8164160024004061
asset_conversion_period,0.7988977550558465
cogs_to_revenue_lag1,0.7955712924762803
days_inventory_outst,0.7848771155427916
net_assets_lag1,0.7666186559356134
debt_to_total_liabilities_lag2,0.7551682867796049
roa_lag2,0.7475399979796915
total_debt_to_ebit_lag1,0.7464864275609091
ebit_lag2,0.732005974040854
net_assets,0.7250654044927815
total_debt,0.7239857425786606
opm,0.714961474176151
current_liquidity,0.7137135092315846
own_working_capital_adequacy,0.7104093010235798
receivables_to_total_assets_lag2,0.7081562351801272
working_capital,0.6952797613333738
payables_turnover_lag1,0.688694547938022
net_debt_to equity,0.6741912270422227
fa_turnover_ratio_lag2,0.6647217027775386
net_assets_lag2,0.6631954709757838
total_debt_lag1,0.6617120227922757
days_inventory_outst_lag1,0.6485083686861665
cogs_to_revenue_lag2,0.6421005528414977
gross_margin_to_total_assets,0.624103317077811
cogs_to_revenue,0.6147188411301349
owners_equity,0.5801515940681699
gross_margin_to_total_assets_lag2,0.5780695771123647
equity_maneuverability,0.576850633784454
gross_margin_to_total_assets_lag1,0.5639151591654864
fa_turnover_ratio_lag1,0.55151973625125
owners_equity_lag1,0.5396630818599694
net_debt_to equity_lag2,0.5360157955324758
asset_conversion_period_lag2,0.5255358010683064
days_purch_outst,0.5198612274199678
ltd_to_total_capitalization_lag2,0.512821908713916
debt_to_equity,0.5089813440135775
working_capital_to_total_assets,0.5021130206130693
days_inventory_outst_lag2,0.5006274872468958
ebit_lag1,0.4952047816760365
working_capital_lag2,0.4934544743223978
receivables_turnover_lag1,0.48232245344212626
ltd_to_total_capitalization_lag1,0.4762980085323764
working_capital_lag1,0.4677267658070806
roa_lag1,0.4518620562369164
total_debt_to_ebit,0.4502131393184194
days_purch_outst_lag2,0.4480703331989015
gpm_on_sgna_lag2,0.44432009401235006
payables_turnover_lag2,0.44098656336934705
days_purch_outst_lag1,0.43625959524141444
gpm_on_cogs,0.4322304249310372
owners_equity_lag2,0.41362496027328216
total_debt_to_equity,0.41347118921065584
equity_maneuverability_lag2,0.4073137449421433
equity_concentration,0.4014830211696869
total_debt_lag2,0.40084042779975887
roe_lag2,0.396350456055549
net_debt_to equity_lag1,0.38103662852791736
cae_to_revenue,0.3736552907363768
std_to_total_debt_lag2,0.3730198300114884
net_profit_margin_lag1,0.3714073717515889
interest_coverage_lag2,0.3705864212669792
gpm_on_cogs_lag2,0.36914354524109505
own_working_capital_adequacy_lag1,0.3637738631664164
std_to_total_debt_lag1,0.3604609772801744
interest_coverage_lag1,0.3508559652548929
return_on_costs,0.34830800279654506
total_debt_to_ebit_lag2,0.34607120890226045
roe_lag1,0.34536203356297124
inventory_turnover_lag2,0.3350132078041964
quick_liquidity_lag1,0.3118096347301888
fa_conversion_period_lag2,0.3106059274581775
gpm_on_sgna,0.30029916805238793
days_sales_outst_lag1,0.2989218987504481
asset_conversion_period_lag1,0.29856009200068456
total_debt_to_equity_lag1,0.29596855398316624
current_liquidity_lag1,0.2934828031436996
fa_conversion_period,0.29127676188706547
gpm_lag2,0.2912027237422843
inventory_turnover_lag1,0.28930517873691547
gpm_on_sgna_lag1,0.2786143245409414
std_to_total_debt,0.2622334665513347
current_liquidity_lag2,0.2573100756444906
equity_concentration_lag2,0.25705935155328263
quick_liquidity_lag2,0.25703772688120513
days_sales_outst_lag2,0.24943102832120986
roa_ru_tax_lag1,0.24503696252197307
fa_turnover_ratio,0.24242564731413227
absolute_liquidity_lag2,0.24201638264802666
cae_to_revenue_lag2,0.24130398550700202
absolute_liquidity_lag1,0.2357929610174172
gpm,0.22463709189457076
quick_liquidity,0.21984369191135256
return_on_costs_lag1,0.21373642945905275
equity_maneuverability_lag1,0.21052819425331867
ltd_to_total_capitalization,0.20909343262639668
debt_to_equity_lag1,0.20418401178076645
gpm_on_cogs_lag1,0.19972576258510732
net_profit_margin_lag2,0.1975123718815764
cae_to_revenue_lag1,0.19344090479654175
return_on_costs_lag2,0.1830745038525374
ebitm_lag2,0.17358454220007535
opm_lag1,0.15838382407910018
ebitm_lag1,0.15321893026712216
working_capital_to_total_assets_lag1,0.1508076324117433
interest_coverage,0.15005435570185513
gpm_lag1,0.1424447626314023
opm_lag2,0.12255565971102932
fa_conversion_period_lag1,0.06916864733665826
