feature,importance
1250_cash_and_equiv,9.598307629753391
roa,7.116267098954821
days_inventory_outst,3.6246658124550377
2410_inc_tax,3.54872420670876
2400_net_pofit,2.918448998556382
1210_inventory,2.7807058814181302
roe,2.621186619047161
4221_non_curr_assets_purch,2.461269095598903
2300_ebt,2.2987696363654573
receivables_to_total_assets,2.2304210798218893
asset_conversion_period,2.015169174665255
1520_trade_payables,1.9922180252403197
debt_to_total_liabilities,1.9572870113230678
absolute_liquidity,1.886249741987364
roa_ru_tax,1.8604893551664377
total_assets_turnover,1.8320138699062551
days_sales_outst,1.7906486795819054
fa_turnover_ratio,1.4891323026127252
equity_concentration,1.4769274185312484
1600_total_assets,1.348118455636178
receivables_turnover,1.3292732910077028
own_working_capital_adequacy,1.2940100736915987
inventory_turnover,1.266843748886782
2330_interest_paid,1.203302813805176
total_debt,1.0947888829639476
1300_total_equity,1.0630880121606148
2350_other_exp,1.012150452060345
1700_total_liab,1.0055136516051122
ebit,0.9901902312297166
days_purch_outst,0.97055424957959
2110_revenue,0.9470348365810656
std_to_total_debt,0.9052210685623263
gross_margin_to_total_assets,0.8877662368126589
net_profit_margin,0.8820669588040052
equity_maneuverability,0.8781333395204503
2210_selling_exp,0.8334605921270214
1310_share_cap,0.8235564927533191
fa_conversion_period,0.822054069993527
net_debt_to equity,0.7874994475325228
1500_total_st_liab,0.7473384471052391
2120_cost_of_sales,0.7286020974086622
working_capital,0.7083387650966592
1260_other_curr_assets,0.6936250317670641
1100_total_non_curr_assets,0.6891337313308492
2200_prof_from_selling,0.6840216959285431
1230_recevables,0.6678651365294593
1150_prop_plant_equip,0.6620776426657926
1240_st_fin_invest,0.6312477868787318
cogs_to_revenue,0.6059864135253213
interest_coverage,0.6051091115141136
4400_ncf,0.5824491949350148
2340_other_income,0.5702885991642198
debt_to_equity,0.5451838081494497
opm,0.5412789270711964
net_assets,0.5151914417355382
total_debt_to_ebit,0.5128194387950966
owners_equity,0.5127342965096433
1220_vat_on_aquired,0.5092279236383792
1200_total_curr_assets,0.4999762197097246
ebitm,0.482593810440261
1360_reserve_funds,0.46978284309353685
working_capital_to_total_assets,0.4556557543500857
ltd_to_total_capitalization,0.4521262535762959
1400_total_lt_liab,0.41431316386027245
1510_st_debt,0.39256412599294116
4122_payroll,0.3608294195734361
2100_gross_profit,0.35759734514128644
1370_ret_earnings,0.34981558114191275
gpm_on_sgna,0.34900313687561324
4121_pmnts_to_spplrs,0.3467515548789312
4214_div_received,0.3462742616791597
payables_turnover,0.34323234578454687
return_on_costs,0.33652979268562444
current_liquidity,0.33513679872362945
4124_income_tax_cf,0.3348717955115452
1450_other_lt_liab,0.30751944634429373
4300_cff,0.3026047119449504
2320_interest_received,0.29047158847344334
gpm_on_cogs,0.2819774649678378
4220_inv_cash_out,0.2727893708615949
quick_liquidity,0.26708036642443245
2220_admin_exp,0.24449443574926685
1170_lt_fin_invest,0.21813855242962416
total_debt_to_equity,0.21577107872515391
4211_non_curr_assets_sales,0.214395748629006
cae_to_revenue,0.2012587433957029
4123_int_on_debt,0.19401574307326808
4200_cfi,0.1899562143234065
4110_oper_cash_in,0.18403511571134312
1180_def_tax_assets,0.16682256091073305
4322_div_pmnt,0.16626952877857668
1420_def_tax_liab,0.1624337287610462
4323_loans_repmnt ,0.14105956886076126
1410_lt_debt,0.13853541863067242
4100_cfo,0.13850177973531352
4320_fin_cash_out,0.1304241944392162
4223_debt_sec_purch,0.12768899412697096
1190_other_non_curr_assets,0.11981835183759962
4120_oper_cash_out,0.10479344959811471
gpm,0.1017354365732844
1350_add_paid_cap,0.09323528535684399
4210_inv_cash_in,0.09112643814263098
4213_debt_sec_sales,0.0906831209470321
1160_investment_in_ta,0.09022403345203024
4112_rent_commis_prcds,0.07988847623123602
4310_fin_cash_in,0.07124695203420257
1110_int_assets,0.06531969930155339
1340_reval_of_non_curr_assets,0.06478321387870958
1550_other_st_oblig,0.062461386582448146
4311_borrowing_cash_in,0.05035122933585211
4111_sales_prcds,0.04212755913902098
1530_def_income,0.03818430885590728
4212_3rd_part_shares_sales,0.019556520774148666
2310_income_from_subs,0.018163146434777903
1320_treas_shares,0.014079031393734186
4313_shares_issue,0.013255049535536748
4113_fin_inv_sales_prcds,0.00941220254564567
4312_shrhldrs_contrib,0.008867884708517
4222_3rd_part_shares_purch,0.008807963045548612
4224_inv_interest_pmnt,0.0025092773250748436
4314_debt_sec_issue,2.339189797374962e-05
4321_shares_buyout,0.0
